Solyc01g098650	Solyc03g113560	interacts with	6
Solyc02g068280	Solyc03g113560	interacts with	6
Solyc02g080940	Solyc03g113560	interacts with	5
Solyc05g055220	Solyc03g113560	interacts with	6
Solyc06g007910	Solyc03g113560	interacts with	5
Solyc07g052430	Solyc03g113560	interacts with	5
Solyc07g064500	Solyc03g113560	interacts with	6
Solyc08g083240	Solyc03g113560	interacts with	6
Solyc09g005310	Solyc03g113560	interacts with	6
Solyc09g082650	Solyc03g113560	interacts with	6
Solyc09g098030	Solyc03g113560	interacts with	7
Solyc12g015770	Solyc03g113560	interacts with	3
